Year,Stage,Jury or Televoting,From country,To country,Points
1975,f,J,Belgium,Belgium,0
1975,f,J,Belgium,Finland,0
1975,f,J,Belgium,France,2
1975,f,J,Belgium,Germany,0
1975,f,J,Belgium,Ireland,12
1975,f,J,Belgium,Israel,1
1975,f,J,Belgium,Italy,6
1975,f,J,Belgium,Luxembourg,0
1975,f,J,Belgium,Malta,7
1975,f,J,Belgium,Monaco,0
1975,f,J,Belgium,Norway,0
1975,f,J,Belgium,Portugal,0
1975,f,J,Belgium,Spain,4
1975,f,J,Belgium,Sweden,0
1975,f,J,Belgium,Switzerland,8
1975,f,J,Belgium,The Netherlands,3
1975,f,J,Belgium,Turkey,0
1975,f,J,Belgium,United Kingdom,10
1975,f,J,Belgium,Yugoslavia,5
1975,f,J,Finland,Belgium,0
1975,f,J,Finland,Finland,0
1975,f,J,Finland,France,0
1975,f,J,Finland,Germany,0
1975,f,J,Finland,Ireland,1
1975,f,J,Finland,Israel,3
1975,f,J,Finland,Italy,12
1975,f,J,Finland,Luxembourg,5
1975,f,J,Finland,Malta,0
1975,f,J,Finland,Monaco,2
1975,f,J,Finland,Norway,0
1975,f,J,Finland,Portugal,0
1975,f,J,Finland,Spain,8
1975,f,J,Finland,Sweden,6
1975,f,J,Finland,Switzerland,4
1975,f,J,Finland,The Netherlands,10
1975,f,J,Finland,Turkey,0
1975,f,J,Finland,United Kingdom,7
1975,f,J,Finland,Yugoslavia,0
1975,f,J,France,Belgium,0
1975,f,J,France,Finland,0
1975,f,J,France,France,0
1975,f,J,France,Germany,0
1975,f,J,France,Ireland,6
1975,f,J,France,Israel,1
1975,f,J,France,Italy,4
1975,f,J,France,Luxembourg,3
1975,f,J,France,Malta,8
1975,f,J,France,Monaco,0
1975,f,J,France,Norway,0
1975,f,J,France,Portugal,2
1975,f,J,France,Spain,0
1975,f,J,France,Sweden,7
1975,f,J,France,Switzerland,10
1975,f,J,France,The Netherlands,5
1975,f,J,France,Turkey,0
1975,f,J,France,United Kingdom,12
1975,f,J,France,Yugoslavia,0
1975,f,J,Germany,Belgium,7
1975,f,J,Germany,Finland,12
1975,f,J,Germany,France,0
1975,f,J,Germany,Germany,0
1975,f,J,Germany,Ireland,0
1975,f,J,Germany,Israel,1
1975,f,J,Germany,Italy,4
1975,f,J,Germany,Luxembourg,0
1975,f,J,Germany,Malta,0
1975,f,J,Germany,Monaco,3
1975,f,J,Germany,Norway,0
1975,f,J,Germany,Portugal,0
1975,f,J,Germany,Spain,5
1975,f,J,Germany,Sweden,0
1975,f,J,Germany,Switzerland,6
1975,f,J,Germany,The Netherlands,8
1975,f,J,Germany,Turkey,0
1975,f,J,Germany,United Kingdom,10
1975,f,J,Germany,Yugoslavia,2
1975,f,J,Ireland,Belgium,0
1975,f,J,Ireland,Finland,5
1975,f,J,Ireland,France,12
1975,f,J,Ireland,Germany,0
1975,f,J,Ireland,Ireland,0
1975,f,J,Ireland,Israel,1
1975,f,J,Ireland,Italy,6
1975,f,J,Ireland,Luxembourg,10
1975,f,J,Ireland,Malta,0
1975,f,J,Ireland,Monaco,0
1975,f,J,Ireland,Norway,0
1975,f,J,Ireland,Portugal,0
1975,f,J,Ireland,Spain,7
1975,f,J,Ireland,Sweden,0
1975,f,J,Ireland,Switzerland,2
1975,f,J,Ireland,The Netherlands,8
1975,f,J,Ireland,Turkey,0
1975,f,J,Ireland,United Kingdom,3
1975,f,J,Ireland,Yugoslavia,4
1975,f,J,Israel,Belgium,0
1975,f,J,Israel,Finland,8
1975,f,J,Israel,France,7
1975,f,J,Israel,Germany,0
1975,f,J,Israel,Ireland,0
1975,f,J,Israel,Israel,0
1975,f,J,Israel,Italy,5
1975,f,J,Israel,Luxembourg,6
1975,f,J,Israel,Malta,1
1975,f,J,Israel,Monaco,2
1975,f,J,Israel,Norway,0
1975,f,J,Israel,Portugal,0
1975,f,J,Israel,Spain,4
1975,f,J,Israel,Sweden,3
1975,f,J,Israel,Switzerland,0
1975,f,J,Israel,The Netherlands,12
1975,f,J,Israel,Turkey,0
1975,f,J,Israel,United Kingdom,10
1975,f,J,Israel,Yugoslavia,0
1975,f,J,Italy,Belgium,0
1975,f,J,Italy,Finland,0
1975,f,J,Italy,France,8
1975,f,J,Italy,Germany,0
1975,f,J,Italy,Ireland,4
1975,f,J,Italy,Israel,2
1975,f,J,Italy,Italy,0
1975,f,J,Italy,Luxembourg,10
1975,f,J,Italy,Malta,0
1975,f,J,Italy,Monaco,5
1975,f,J,Italy,Norway,7
1975,f,J,Italy,Portugal,0
1975,f,J,Italy,Spain,6
1975,f,J,Italy,Sweden,0
1975,f,J,Italy,Switzerland,12
1975,f,J,Italy,The Netherlands,1
1975,f,J,Italy,Turkey,0
1975,f,J,Italy,United Kingdom,3
1975,f,J,Italy,Yugoslavia,0
1975,f,J,Luxembourg,Belgium,0
1975,f,J,Luxembourg,Finland,6
1975,f,J,Luxembourg,France,0
1975,f,J,Luxembourg,Germany,8
1975,f,J,Luxembourg,Ireland,0
1975,f,J,Luxembourg,Israel,1
1975,f,J,Luxembourg,Italy,3
1975,f,J,Luxembourg,Luxembourg,0
1975,f,J,Luxembourg,Malta,5
1975,f,J,Luxembourg,Monaco,4
1975,f,J,Luxembourg,Norway,0
1975,f,J,Luxembourg,Portugal,0
1975,f,J,Luxembourg,Spain,0
1975,f,J,Luxembourg,Sweden,7
1975,f,J,Luxembourg,Switzerland,2
1975,f,J,Luxembourg,The Netherlands,10
1975,f,J,Luxembourg,Turkey,0
1975,f,J,Luxembourg,United Kingdom,12
1975,f,J,Luxembourg,Yugoslavia,0
1975,f,J,Malta,Belgium,0
1975,f,J,Malta,Finland,0
1975,f,J,Malta,France,7
1975,f,J,Malta,Germany,3
1975,f,J,Malta,Ireland,4
1975,f,J,Malta,Israel,0
1975,f,J,Malta,Italy,10
1975,f,J,Malta,Luxembourg,5
1975,f,J,Malta,Malta,0
1975,f,J,Malta,Monaco,1
1975,f,J,Malta,Norway,0
1975,f,J,Malta,Portugal,0
1975,f,J,Malta,Spain,0
1975,f,J,Malta,Sweden,2
1975,f,J,Malta,Switzerland,6
1975,f,J,Malta,The Netherlands,12
1975,f,J,Malta,Turkey,0
1975,f,J,Malta,United Kingdom,8
1975,f,J,Malta,Yugoslavia,0
1975,f,J,Monaco,Belgium,0
1975,f,J,Monaco,Finland,8
1975,f,J,Monaco,France,7
1975,f,J,Monaco,Germany,0
1975,f,J,Monaco,Ireland,0
1975,f,J,Monaco,Israel,0
1975,f,J,Monaco,Italy,1
1975,f,J,Monaco,Luxembourg,0
1975,f,J,Monaco,Malta,0
1975,f,J,Monaco,Monaco,0
1975,f,J,Monaco,Norway,2
1975,f,J,Monaco,Portugal,0
1975,f,J,Monaco,Spain,4
1975,f,J,Monaco,Sweden,6
1975,f,J,Monaco,Switzerland,5
1975,f,J,Monaco,The Netherlands,10
